Reference, Quantity, Value, Footprint, Datasheet, Ref_Mouser, Field4
C1 ,1,0.1u,Custom:C2-LARGE_PADS,,505-MKS2.1/100/10,
C10 ,1,47p,Custom:C2-LARGE_PADS,,505-FKP247/1000/10,
C2 ,1,2.2u,Custom:C1.5V7-LARGE_PADS,,647-UVZ1H2R2MDD,
C3 ,1,22n,Custom:C2-LARGE_PADS,,80-R82EC2220DQ50J,
C4 ,1,3.3n,Custom:C2-LARGE_PADS,,505-FKS23300/100/5 ,
C5 ,1,10n,Custom:C2-LARGE_PADS,,80-R82EC2100DQ50K,
C6 ,1,2.2n,Custom:C2-LARGE_PADS,,80-R82EC1220DQ50J ,
C7 C9 ,2,10u,Custom:C1.5V7-LARGE_PADS,,667-EEU-FC1H100L,
C8 ,1,1u,Custom:C1.5V7-LARGE_PADS,,667-ECE-A1HKA010,
P1 ,1,In,Custom:SIL-2-LARGE_PADS,
P2 ,1,Out,Custom:SIL-2-LARGE_PADS,
P3 ,1,Power,Custom:SIL-2-LARGE_PADS,
R1 ,1,1K,Custom:R3-LARGE_PADS,,71-CCF071K00GKE36,
R10 ,1,470,Custom:R3-LARGE_PADS,,71-CCF07470RGKE36,
R11 R12 ,2,100K,Custom:R3-LARGE_PADS,,71-CCF07100KGKE36,
R2 ,1,4.7 Meg,Custom:R3-LARGE_PADS,,603-MFR-25FRF52-4M7,
R3 R7 ,2,22K,Custom:R3-LARGE_PADS,,71-CCF0722K0GKE36,
R4 R6 R8 ,3,10K,Custom:R3-LARGE_PADS,,603-MFR-25FRF5210K,
R5 R9 ,2,4.7K,Custom:R3-LARGE_PADS,,71-CCF074K70GKE36,
RV1 RV2 RV3 ,3,B 100K,Custom:SIL-3-LARGE_PADS,,652-PDB181-E420K104B,Low
U1 ,1,TL072,Custom:DIP-8_LARGE_PADS,,595-OPA2277PA,
